"Variable","median_mda","iqr25","iqr75","tax_ID"
"Otu000330",0.0681144989872264,0.055613317789484,0.0776748098930271,"Clostridiales"
"Otu000820",0.0678998672087503,0.0496071567007407,0.0841659248937029,"Lachnospiraceae"
"Otu001172",0.0673008004852698,0.0541517336594857,0.078155177418988,"Ruminococcaceae"
"Otu000844",0.0661763008119765,0.0520611084028209,0.0855063895798715,"Turicibacter"
"Otu000284",0.0657331264837441,0.0555416188509766,0.0753553805186636,"Porphyromonadaceae"
"Otu000654",0.0655253188183768,0.0523045944658843,0.077783253890506,"Ruminococcaceae"
"Otu000516",0.0655170970682424,0.053669371879352,0.0757742635535614,"Lachnospiraceae"
"Otu000875",0.0652168841464737,0.0512891414790821,0.083662519855767,"Clostridiales"
"Otu001642",0.0650017474226683,0.0547171508334648,0.0749960159578606,"Clostridiales"
"Otu001036",0.064949487072898,0.0591875612615901,0.0766813623452672,"Lachnospiraceae"
"Otu000123",0.0647684604743198,0.0478885703459574,0.0787082682016745,"Faecalibacterium"
"Otu001200",0.064374570234763,0.0539380680095101,0.080393673222002,"Clostridiales"
"Otu001014",0.0643069455747114,0.0479721537782534,0.0865194885019961,"Pseudoflavonifractor"
"Otu000192",0.0632618664664513,0.0409467530584199,0.0778912371978324,"Ruminococcus"
"Otu001309",0.063209379946868,0.050992619894231,0.0738839470281147,"Firmicutes"
"Otu000204",0.062904683072412,0.0559299031622673,0.0715802702478173,"Bifidobacterium"
"Otu000800",0.0626472052763982,0.0538422156353049,0.0754231260347929,"Ruminococcaceae"
"Otu000958",0.0614332414326948,0.0516530451648996,0.0680102339237257,"Firmicutes"
"Otu000152",0.0610268936805461,0.044844835418343,0.0761746734207514,"Ruminococcaceae"
"Otu000527",0.0609878102465778,0.0505366010518913,0.0743553403652085,"Porphyromonadaceae"
"Otu000082",0.0607381703134046,0.047503407760547,0.0698278022614651,"Ruminococcaceae"
"Otu001803",0.0602675442752078,0.0492118873337259,0.0693717645822046,"Clostridiales"
"Otu000412",0.0601407135002435,0.0499423101858249,0.0741818457122218,"Bacteroides"
"Otu001022",0.060044786775805,0.051533022881987,0.0674442377830427,"Ruminococcaceae"
"Otu000220",0.0598957197266737,0.0464348475235201,0.0774490850042566,"Blautia"
"Otu000934",0.0598921277581066,0.0524037590933005,0.0691898090238426,"Clostridium IV"
"Otu001194",0.0593230068341077,0.0492667035588409,0.0729774394188798,"Bacteria"
"Otu001457",0.0592321661534774,0.0468359322187445,0.0667048093104842,"Clostridium IV"
"Otu001086",0.0590819840324634,0.0511744060816724,0.0687864415284951,"Lachnospiraceae"
"Otu000274",0.0585503568567451,0.0432862792516228,0.0757181367281747,"Ruminococcaceae"
"Otu000097",0.0584703165800511,0.0488346009615467,0.0676378081326615,"Blautia"
"Otu000980",0.0583973167956776,0.0476398157297243,0.0680558024191703,"Lachnospiraceae"
